,,,,,,
,,,,,,
,Acordar às 5:00,,,,05:00,05:03
,Tomar pré treino às 05:03,,,,05:03,05:04
,Cardio de 05:05 às 06:00 - 55 min.,,,,05:04,06:00
,Tomar Vitaminas e Sais Minerais às 06:00,,,,06:00,06:01
,Preparar o café da manhã 06:00 às 06:20 - 20 min.,,,,06:01,06:20
,Tomar o café 06:20 às 06:30 - 10 min.,,,,06:20,06:30
,Tomar banho 06:30 às 06:40 - 10 min.,,,,06:30,06:40
,Vestir-se e arrumar bolsa 06:40 às 06:50 - 10 min.,,,,06:40,06:50
,Tomar Creatina às 06:50,,,,06:50,06:51
,Sair para o trabalho 06:50 às 07:40 - 50 min.,,,,06:50,07:40
,,,,,,
,Chegar no trabalho 07:40 às 07:50 - 10 min.,,,,07:40,07:50
,Iniciar trabalho 07:50 às 08:00,,,,07:50,08:00
,"Leitura docs, emails e agenda  às 08:00",,,,08:00,08:10
,01° agenda 08:10 às 08:35 - 25 min.,,,,08:10,08:35
,01°.1 Pausa 08:35 às 08:40 - 5 min.,,,,08:35,08:40
,02° agenda 08:40 às 09:05 - 25 min.,,,,08:40,09:05
,02°.1 Pausa 09:05 às 09:10 - 5 min.,,,,09:05,09:10
,03° agenda 09:10 às 09:35 - 25 min.,,,,09:10,09:35
,01° Pausa 09:35 às 09:50 - 15 min.,,,,09:35,09:50
,Tomar Whey Protein 30g às 09:37,,,,09:37,09:45
,04° agenda 09:50 às 10:15 - 25 min.,,,,09:50,10:15
,02°.1 Pausa 10:15 às 10:20 - 5 min.,,,,10:15,10:20
,05° agenda 10:20 às 10:45 - 25 min.,,,,10:20,10:45
,02°.2 Pausa 10:45 às 10:50 - 5 min.,,,,10:45,10:50
,06° agenda 10:50 às 11:15 - 25 min.,,,,10:50,11:15
,02° Pausa 11:15 às 11:30 - 15 min.,,,,11:15,11:30
,07° agenda 11:30 às 11:55 - 25 min.,,,,11:30,11:55
,Sair para o almoço 11:55 às 11:59,,,,11:55,11:59
,Tomar Vitaminas e Sais Minerais às 11:57,,,,11:57,11:58
,Almoço 11:59 às 12:59 - 60 mim.,,,,11:59,12:59
,08° agenda 13:00 às 13:25 - 25 min.,,,,13:00,13:25
,03°.1 Pausa 13:25 às 13:30 - 5 min.,,,,13:25,13:30
,09° agenda 13:30 às 13:55 - 25 min.,,,,13:30,13:55
,03°.2 Pausa 13:55 às 14:00 - 5 min.,,,,13:55,14:00
,10° agenda 14:00 às 14:25 - 25 min.,,,,14:00,14:25
,03° Pausa 14:25 às 14:40 - 15 min.,,,,14:25,14:40
,11° agenda 14:40 às 15:05 - 25 min.,,,,14:40,15:05
,04°.1 Pausa 15:05 às 15:10 - 5 min.,,,,15:05,15:10
,12° agenda 15:10 às 15:35 - 25 min.,,,,15:10,15:35
,04°.2 Pausa 15:35 às 15:40 - 5 min.,,,,15:35,15:40
,13° agenda 15:40 às 16:05 - 25 min.,,,,15:40,16:05
,04° Pausa 16:05 às 16:20 - 15 min.,,,,16:05,16:20
,Tomar Whey Protein 30g às 16:07,,,,16:07,16:15
,14° agenda 16:20 às 16:45 - 25 min.,,,,16:20,16:45
,05°.1 Pausa 16:45 às 16:50 - 5 min.,,,,16:45,16:50
,15° agenda 16:50 às 17:15 - 25 min.,,,,16:50,17:15
,05°.2 Pausa 17:15 às 17:20 - 5 min.,,,,17:15,17:20
,16° agenda 17:20 às 17:45 - 25 min.,,,,17:20,17:45
,05° Pausa 17:45 às 18:00 - 15 min.,,,,17:45,18:00
,Sair para a academia 18:00 às 18:20 - 20 min.,,,,18:00,18:20
,,,,,,
,Trocar roupa 18:20 às 18:30 - 10 min.,,,,18:20,18:30
,Fazer aquecimento 18:30 às 19:00 - 30min.,,,,18:30,19:00
,Iniciar treino 19:00 às 20:00 - 60min.,,,,19:00,20:00
,Sair para casa 20:00 às 20:40 - 40min.,,,,20:00,20:40
,,,,,,
,Trocar-se e Tomar banho 20:40 às 21:00 - 20 min.,,,,20:40,21:00
,Preparar a jantar 21:00 às 21:30 - 30 mim.,,,,21:00,21:30
,Tomar Vitaminas e Sais Minerais às 21:30,,,,21:30,21:31
,Jantar 21:30 às 21:40 - 10 min.,,,,21:30,21:40
,Internet e Redes Sociais 21:40 às 22:00 - 20 min.,,,,21:40,22:00
,Estudar e Trabalhos Pessoais 22:00 às 23:00 - 60min.,,,,22:00,23:00
,Higiene pessoal e do sono 23:00 às 23:30 - 30min.,,,,23:00,23:30
,Dormir 23:30 às 05:00 - 6h,,,,23:30,05:00
